timestamp,x,y,z
2024-08-28T13:22:46.609465,-0.61,-0.55,-1.04
2024-08-28T13:22:46.845456,-0.92,-0.55,-1.1
2024-08-28T13:22:47.084033,-0.92,-0.67,-0.92
2024-08-28T13:22:47.306224,-1.1,-0.67,-0.92
2024-08-28T13:22:47.543373,-1.46,-0.61,-1.16
2024-08-28T13:22:47.784807,-1.04,-0.73,-1.04
2024-08-28T13:22:48.020533,-0.31,-0.55,-0.79
2024-08-28T13:22:48.272819,-0.49,-0.85,-0.73
2024-08-28T13:22:48.500127,-0.43,-1.16,-0.55
2024-08-28T13:22:48.751578,-0.61,-0.37,-0.85
2024-08-28T13:22:48.988987,-0.85,-0.79,-1.04
2024-08-28T13:22:49.221360,0.06,-0.79,-0.98
2024-08-28T13:22:49.455802,-0.92,-0.37,-0.98
2024-08-28T13:22:49.692396,-0.31,0.24,-1.04
2024-08-28T13:22:50.168607,0.12,0.24,-0.98
2024-08-28T13:22:50.405555,0.0,0.12,-1.22
2024-08-28T13:22:50.633422,0.12,-0.12,-1.22
2024-08-28T13:22:50.870198,-0.18,-0.43,-1.1
2024-08-28T13:22:51.095656,-0.18,-0.61,-0.73
2024-08-28T13:22:51.325623,-0.37,-0.61,-0.67
2024-08-28T13:22:51.559329,-0.49,-0.61,-0.73
2024-08-28T13:22:51.784774,-0.67,-0.61,-0.92
2024-08-28T13:22:52.014184,-0.49,-0.61,-1.04
2024-08-28T13:22:52.243494,-0.37,-0.37,-1.1
2024-08-28T13:22:52.470914,-0.55,-0.31,-1.16
2024-08-28T13:22:52.695063,-0.61,-0.37,-0.98
2024-08-28T13:22:52.940279,-0.49,-0.37,-0.92
2024-08-28T13:22:53.192219,-0.85,-0.55,-0.92
2024-08-28T13:22:53.421543,-0.79,-0.67,-1.04
2024-08-28T13:22:53.645504,-0.85,-0.73,-0.98
2024-08-28T13:22:53.884077,-0.67,-0.55,-0.92
2024-08-28T13:22:54.114429,-0.79,-0.43,-0.79
2024-08-28T13:22:54.346733,-0.92,-0.43,-0.85
2024-08-28T13:22:54.574407,-0.73,-0.61,-0.98
2024-08-28T13:22:54.806610,-0.37,-0.55,-1.1
2024-08-28T13:22:55.030397,-0.79,-0.49,-1.04
2024-08-28T13:22:55.272298,-0.79,-0.61,-0.85
2024-08-28T13:22:55.492385,-0.55,-0.55,-0.73
2024-08-28T13:22:55.740454,-0.37,-0.37,-0.85
2024-08-28T13:22:55.978717,-0.49,-0.37,-0.98
2024-08-28T13:22:56.216142,0.0,-0.37,-1.04
2024-08-28T13:22:56.455392,-0.24,-0.43,-1.1
2024-08-28T13:22:56.681289,-0.37,-0.06,-1.22
2024-08-28T13:22:56.899644,-0.31,-0.31,-1.16
2024-08-28T13:22:57.136434,-0.12,-0.67,-0.85
2024-08-28T13:22:57.362408,-0.24,-0.73,-0.73
2024-08-28T13:22:57.597864,-0.24,-0.67,-0.79
2024-08-28T13:22:57.847313,-0.24,-0.67,-0.85
2024-08-28T13:22:58.087192,0.0,-0.61,-0.79
2024-08-28T13:22:58.318770,0.0,-0.49,-0.92
2024-08-28T13:22:58.542278,0.0,-0.37,-0.85
2024-08-28T13:22:58.787603,0.06,-0.49,-0.85
2024-08-28T13:22:59.011876,-0.18,-0.73,-0.92
2024-08-28T13:22:59.248180,-0.37,-0.73,-0.98
2024-08-28T13:22:59.485788,-0.43,-0.73,-0.98
2024-08-28T13:22:59.809970,-0.24,-0.61,-0.79
2024-08-28T13:23:00.036248,-0.12,-0.37,-0.79
2024-08-28T13:23:00.284079,-0.12,-0.43,-0.98
2024-08-28T13:23:00.517285,-0.18,-0.55,-1.1
2024-08-28T13:23:00.746361,-0.49,-0.61,-1.04
2024-08-28T13:23:00.971761,-0.12,-0.73,-0.85
2024-08-28T13:23:01.212154,0.24,-0.61,-0.73
2024-08-28T13:23:01.459442,0.06,-0.55,-0.73
2024-08-28T13:23:01.700852,-0.37,-0.49,-0.98
2024-08-28T13:23:01.938968,-0.37,-0.61,-1.04
2024-08-28T13:23:02.172114,-0.31,-0.61,-0.92
2024-08-28T13:23:02.401793,0.31,-0.55,-0.73
2024-08-28T13:23:02.645666,0.0,-0.61,-0.73
2024-08-28T13:23:02.896173,-0.18,-0.43,-0.92
2024-08-28T13:23:03.134257,-0.24,-0.37,-0.98
2024-08-28T13:23:03.372186,0.06,-0.49,-0.92
2024-08-28T13:23:03.603986,0.06,-0.61,-0.85
